Patient Name: RDF CHeck
Patient ID: xxxxxxx
Plan: RDF Check
Course: Physics QA
Date: Friday, February 19, 2021 4:39:36 PM
Exported by: Gregory Salomons MP

Start: (0.00, -5.00, 0.00)
End:   (0.00, 3.00, 0.00)

	13cm Circle
0.000000	0.000000
0.010008	0.000000
0.020015	0.000000
0.030023	0.000000
0.040030	0.000000
0.050038	0.000000
0.060045	81.874273
0.070053	81.999936
0.080061	82.125599
0.090068	82.251263
0.100076	82.376926
0.110083	82.502590
0.120091	82.628253
0.130098	82.753917
0.140106	82.879581
0.150114	83.005244
0.160121	83.138538
0.170129	83.277447
0.180136	83.416355
0.190144	83.555264
0.200151	83.694173
0.210159	83.833082
0.220167	83.971991
0.230174	84.110900
0.240182	84.249809
0.250189	84.388718
0.260197	84.528787
0.270204	84.669685
0.280212	84.810582
0.290220	84.951480
0.300227	85.092378
0.310235	85.233275
0.320242	85.374173
0.330250	85.515071
0.340257	85.655968
0.350265	85.796866
0.360273	85.933879
0.370280	86.068205
0.380288	86.202531
0.390295	86.336857
0.400303	86.471183
0.410310	86.605509
0.420318	86.739835
0.430326	86.874161
0.440333	87.008487
0.450341	87.142814
0.460348	87.270797
0.470356	87.394530
0.480363	87.518264
0.490371	87.641997
0.500379	87.765730
0.510386	87.889464
0.520394	88.013197
0.530401	88.136930
0.540409	88.260663
0.550416	88.384396
0.560424	88.501909
0.570432	88.615383
0.580439	88.728857
0.590447	88.842331
0.600454	88.955804
0.610462	89.069278
0.620469	89.182752
0.630477	89.296225
0.640485	89.409699
0.650492	89.523173
0.660500	89.632275
0.670507	89.738629
0.680515	89.844982
0.690522	89.951336
0.700530	90.057689
0.710538	90.164043
0.720545	90.270396
0.730553	90.376749
0.740560	90.483103
0.750568	90.589456
0.760575	90.693802
0.770583	90.796925
0.780591	90.900048
0.790598	91.003172
0.800606	91.106295
0.810613	91.209418
0.820621	91.312541
0.830628	91.415664
0.840636	91.518787
0.850644	91.621910
0.860651	91.724779
0.870659	91.827497
0.880666	91.930215
0.890674	92.032933
0.900681	92.135651
0.910689	92.238369
0.920697	92.341087
0.930704	92.443805
0.940712	92.546522
0.950719	92.649240
0.960727	92.752132
0.970734	92.855124
0.980742	92.958115
0.990750	93.061106
1.000757	93.164098
1.010765	93.267089
1.020772	93.370080
1.030780	93.473072
1.040787	93.576063
1.050795	93.679054
1.060803	93.781610
1.070810	93.883926
1.080818	93.986241
1.090825	94.088557
1.100833	94.190873
1.110840	94.293188
1.120848	94.395504
1.130856	94.497820
1.140863	94.600135
1.150871	94.702451
1.160878	94.802840
1.170886	94.902200
1.180893	95.001559
1.190901	95.100919
1.200909	95.200279
1.210916	95.299638
1.220924	95.398998
1.230931	95.498358
1.240939	95.597717
1.250946	95.697077
1.260954	95.792973
1.270962	95.887080
1.280969	95.981187
1.290977	96.075294
1.300984	96.169401
1.310992	96.263507
1.320999	96.357614
1.331007	96.451721
1.341015	96.545828
1.351022	96.639935
1.361030	96.729412
1.371037	96.816577
1.381045	96.903741
1.391052	96.990906
1.401060	97.078071
1.411068	97.165235
1.421075	97.252400
1.431083	97.339565
1.441090	97.426729
1.451098	97.513894
1.461105	97.595194
1.471113	97.673663
1.481121	97.752132
1.491128	97.830601
1.501136	97.909070
1.511143	97.987539
1.521151	98.066008
1.531158	98.144477
1.541166	98.222946
1.551174	98.301414
1.561181	98.372301
1.571189	98.439651
1.581196	98.507002
1.591204	98.574352
1.601211	98.641703
1.611219	98.709053
1.621227	98.776404
1.631234	98.843754
1.641242	98.911105
1.651249	98.978455
1.661257	99.035826
1.671264	99.088705
1.681272	99.141584
1.691280	99.194463
1.701287	99.247341
1.711295	99.300220
1.721302	99.353098
1.731310	99.405977
1.741317	99.458856
1.751325	99.511734
1.761333	99.551860
1.771340	99.586444
1.781348	99.621029
1.791355	99.655614
1.801363	99.690198
1.811370	99.724783
1.821378	99.759367
1.831386	99.793952
1.841393	99.828536
1.851401	99.863120
1.861408	99.882214
1.871416	99.894816
1.881423	99.907417
1.891431	99.920018
1.901439	99.932620
1.911446	99.945221
1.921454	99.957823
1.931461	99.970424
1.941469	99.983025
1.951476	99.995626
1.961484	99.990171
1.971492	99.977420
1.981499	99.964670
1.991507	99.951919
2.001514	99.939168
2.011522	99.926417
2.021529	99.913666
2.031537	99.900915
2.041545	99.888165
2.051552	99.875414
2.061560	99.841879
2.071567	99.800253
2.081575	99.758627
2.091582	99.717002
2.101590	99.675376
2.111598	99.633750
2.121605	99.592125
2.131613	99.550499
2.141620	99.508873
2.151628	99.467248
2.161635	99.401714
2.171643	99.327219
2.181651	99.252724
2.191658	99.178229
2.201666	99.103734
2.211673	99.029240
2.221681	98.954745
2.231688	98.880250
2.241696	98.805755
2.251704	98.731260
2.261711	98.629476
2.271719	98.517850
2.281726	98.406224
2.291734	98.294597
2.301741	98.182971
2.311749	98.071345
2.321757	97.959719
2.331764	97.848093
2.341772	97.736467
2.351779	97.624841
2.361787	97.482803
2.371794	97.330218
2.381802	97.177634
2.391810	97.025050
2.401817	96.872465
2.411825	96.719881
2.421832	96.567297
2.431840	96.414713
2.441847	96.262129
2.451855	96.109545
2.461863	95.924119
2.471870	95.727749
2.481878	95.531380
2.491885	95.335010
2.501893	95.138641
2.511900	94.942271
2.521908	94.745902
2.531916	94.549533
2.541923	94.353163
2.551931	94.156794
2.561938	93.925879
2.571946	93.683912
2.581953	93.441945
2.591961	93.199979
2.601969	92.958012
2.611976	92.716046
2.621984	92.474079
2.631991	92.232113
2.641999	91.990147
2.652006	91.748181
2.662014	91.470489
2.672022	91.181834
2.682029	90.893180
2.692037	90.604525
2.702044	90.315871
2.712052	90.027217
2.722059	89.738563
2.732067	89.449909
2.742075	89.161254
2.752082	88.872600
2.762090	88.547589
2.772097	88.211887
2.782105	87.876185
2.792112	87.540482
2.802120	87.204780
2.812128	86.869078
2.822135	86.533376
2.832143	86.197674
2.842150	85.861972
2.852158	85.526270
2.862165	85.154429
2.872173	84.772414
2.882181	84.390399
2.892188	84.008385
2.902196	83.626370
2.912203	83.244355
2.922211	82.862341
2.932218	82.480326
2.942226	82.098312
2.952234	81.716298
2.962241	81.299591
2.972249	80.873544
2.982256	80.447498
2.992264	80.021452
3.002271	79.595405
3.012279	79.169359
3.022287	78.743313
3.032294	78.317267
3.042302	77.891220
3.052309	77.465174
3.062317	77.007110
3.072324	76.540813
3.082332	76.074516
3.092340	75.608219
3.102347	75.141921
3.112355	74.675624
3.122362	74.209327
3.132370	73.743030
3.142377	73.276733
3.152385	72.810436
3.162393	72.315713
3.172400	71.814018
3.182408	71.312323
3.192415	70.810627
3.202423	70.308932
3.212430	69.807237
3.222438	69.305541
3.232446	68.803846
3.242453	68.302150
3.252461	67.800455
3.262468	67.274608
3.272476	66.743118
3.282483	66.211627
3.292491	65.680137
3.302499	65.148646
3.312506	64.617155
3.322514	64.085665
3.332521	63.554174
3.342529	63.022684
3.352536	62.491193
3.362544	61.940627
3.372552	61.385820
3.382559	60.831014
3.392567	60.276207
3.402574	59.721401
3.412582	59.166595
3.422589	58.611788
3.432597	58.056982
3.442605	57.502176
3.452612	56.947369
3.462620	56.379765
3.472627	55.809459
3.482635	55.239154
3.492642	54.668848
3.502650	54.098543
3.512658	53.528237
3.522665	52.957932
3.532673	52.387626
3.542680	51.817321
3.552688	51.247015
3.562695	50.671661
3.572703	50.095298
3.582711	49.518934
3.592718	48.942570
3.602726	48.366206
3.612733	47.789842
3.622741	47.213479
3.632748	46.637115
3.642756	46.060751
3.652764	45.484387
3.662771	44.911944
3.672779	44.340243
3.682786	43.768542
3.692794	43.196841
3.702801	42.625140
3.712809	42.053439
3.722817	41.481738
3.732824	40.910037
3.742832	40.338336
3.752839	39.766635
3.762847	39.208454
3.772854	38.652689
3.782862	38.096925
3.792870	37.541160
3.802877	36.985395
3.812885	36.429630
3.822892	35.873865
3.832900	35.318100
3.842907	34.762335
3.852915	34.206570
3.862923	33.673857
3.872930	33.145022
3.882938	32.616188
3.892945	32.087353
3.902953	31.558518
3.912960	31.029683
3.922968	30.500849
3.932976	29.972014
3.942983	29.443179
3.952991	28.914344
3.962998	28.417464
3.973006	27.925634
3.983013	27.433804
3.993021	26.941973
4.003029	26.450143
4.013036	25.958312
4.023044	25.466482
4.033051	24.974652
4.043059	24.482821
4.053066	23.990991
4.063074	23.538907
4.073082	23.092705
4.083089	22.646502
4.093097	22.200299
4.103104	21.754097
4.113112	21.307894
4.123119	20.861692
4.133127	20.415489
4.143135	19.969287
4.153142	19.523084
4.163150	19.122778
4.173157	18.728810
4.183165	18.334843
4.193172	17.940875
4.203180	17.546907
4.213188	17.152939
4.223195	16.758971
4.233203	16.365003
4.243210	15.971035
4.253218	15.577067
4.263225	15.232973
4.273233	14.895283
4.283241	14.557592
4.293248	14.219901
4.303256	13.882210
4.313263	13.544519
4.323271	13.206828
4.333278	12.869137
4.343286	12.531446
4.353294	12.193755
4.363301	11.907304
4.373309	11.626942
4.383316	11.346579
4.393324	11.066217
4.403331	10.785854
4.413339	10.505492
4.423347	10.225129
4.433354	9.944766
4.443362	9.664404
4.453369	9.384041
4.463377	9.153622
4.473384	8.928668
4.483392	8.703714
4.493400	8.478760
4.503407	8.253806
4.513415	8.028852
4.523422	7.803898
4.533430	7.578944
4.543437	7.353989
4.553445	7.129035
4.563453	6.950324
4.573460	6.776247
4.583468	6.602169
4.593475	6.428092
4.603483	6.254014
4.613490	6.079937
4.623498	5.905859
4.633506	5.731782
4.643513	5.557704
4.653521	5.383626
4.663528	5.250256
4.673536	5.120595
4.683543	4.990933
4.693551	4.861272
4.703559	4.731610
4.713566	4.601949
4.723574	4.472287
4.733581	4.342626
4.743589	4.212964
4.753597	4.083303
4.763604	3.987658
4.773612	3.894808
4.783619	3.801958
4.793627	3.709108
4.803634	3.616258
4.813642	3.523409
4.823650	3.430559
4.833657	3.337709
4.843665	3.244859
4.853672	3.152009
4.863680	3.086110
4.873687	3.022189
4.883695	2.958268
4.893703	2.894347
4.903710	2.830425
4.913718	2.766504
4.923725	2.702583
4.933733	2.638662
4.943740	2.574741
4.953748	2.510820
4.963756	2.467119
4.973763	2.424728
4.983771	2.382337
4.993778	2.339947
5.003786	2.297556
5.013793	2.255165
5.023801	2.212774
5.033809	2.170383
5.043816	2.127992
5.053824	2.085601
5.063831	2.057637
5.073839	2.030484
5.083846	2.003332
5.093854	1.976180
5.103862	1.949027
5.113869	1.921875
5.123877	1.894723
5.133884	1.867570
5.143892	1.840418
5.153899	1.813265
5.163907	1.795980
5.173915	1.779168
5.183922	1.762355
5.193930	1.745543
5.203937	1.728730
5.213945	1.711918
5.223952	1.695105
5.233960	1.678293
5.243968	1.661480
5.253975	1.644668
5.263983	1.634408
5.273990	1.624408
5.283998	1.614409
5.294005	1.604409
5.304013	1.594409
5.314021	1.584409
5.324028	1.574410
5.334036	1.564410
5.344043	1.554410
5.354051	1.544410
5.364058	1.538626
5.374066	1.532973
5.384074	1.527321
5.394081	1.521669
5.404089	1.516017
5.414096	1.510365
5.424104	1.504713
5.434111	1.499061
5.444119	1.493409
5.454127	1.487757
5.464134	1.484655
5.474142	1.481614
5.484149	1.478572
5.494157	1.475531
5.504164	1.472489
5.514172	1.469447
5.524180	1.466406
5.534187	1.463364
5.544195	1.460323
5.554202	1.457281
5.564210	1.455567
5.574217	1.453874
5.584225	1.452181
5.594233	1.450489
5.604240	1.448796
5.614248	1.447103
5.624255	1.445410
5.634263	1.443717
5.644270	1.442024
5.654278	1.440331
5.664286	1.439094
5.674293	1.437861
5.684301	1.436628
5.694308	1.435395
5.704316	1.434161
5.714323	1.432928
5.724331	1.431695
5.734339	1.430462
5.744346	1.429228
5.754354	1.427995
5.764361	1.426690
5.774369	1.425384
5.784376	1.424079
5.794384	1.422774
5.804392	1.421468
5.814399	1.420163
5.824407	1.418858
5.834414	1.417553
5.844422	1.416247
5.854429	1.414940
5.864437	1.413386
5.874445	1.411833
5.884452	1.410279
5.894460	1.408725
5.904467	1.407171
5.914475	1.405617
5.924482	1.404063
5.934490	1.402510
5.944498	1.400956
5.954505	1.399400
5.964513	1.397701
5.974520	1.396002
5.984528	1.394303
5.994535	1.392603
6.004543	1.390904
6.014551	1.389205
6.024558	1.387506
6.034566	1.385807
6.044573	1.384108
6.054581	1.382411
6.064588	1.380805
6.074596	1.379200
6.084604	1.377595
6.094611	1.375989
6.104619	1.374384
6.114626	1.372779
6.124634	1.371173
6.134641	1.369568
6.144649	1.367963
6.154657	1.366366
6.164664	1.365045
6.174672	1.363724
6.184679	1.362403
6.194687	1.361082
6.204694	1.359761
6.214702	1.358440
6.224710	1.357119
6.234717	1.355797
6.244725	1.354476
6.254732	1.353168
6.264740	1.352175
6.274747	1.351182
6.284755	1.350189
6.294763	1.349196
6.304770	1.348203
6.314778	1.347210
6.324785	1.346217
6.334793	1.345224
6.344800	1.344231
6.354808	1.343247
6.364816	1.342472
6.374823	1.341696
6.384831	1.340920
6.394838	1.340144
6.404846	1.339368
6.414853	1.338592
6.424861	1.337816
6.434869	1.337040
6.444876	1.336264
6.454884	1.335490
6.464891	1.334749
6.474899	1.334009
6.484906	1.333268
6.494914	1.332528
6.504922	1.331787
6.514929	1.331047
6.524937	1.330306
6.534944	1.329566
6.544952	1.328825
6.554959	1.328078
6.564967	1.327228
6.574975	1.326378
6.584982	1.325528
6.594990	1.324677
6.604997	1.323827
6.615005	1.322977
6.625012	1.322127
6.635020	1.321277
6.645028	1.320426
6.655035	1.319565
6.665043	1.318555
6.675050	1.317544
6.685058	1.316534
6.695065	1.315523
6.705073	1.314513
6.715081	1.313502
6.725088	1.312492
6.735096	1.311482
6.745103	1.310471
6.755111	1.309452
6.765118	1.308335
6.775126	1.307217
6.785134	1.306099
6.795141	1.304981
6.805149	1.303863
6.815156	1.302745
6.825164	1.301627
6.835171	1.300509
6.845179	1.299391
6.855187	1.298273
6.865194	1.297156
6.875202	1.296039
6.885209	1.294921
6.895217	1.293804
6.905224	1.292687
6.915232	1.291570
6.925240	1.290452
6.935247	1.289335
6.945255	1.288218
6.955262	1.287107
6.965270	1.286062
6.975277	1.285017
6.985285	1.283973
6.995293	1.282928
7.005300	1.281883
7.015308	1.280838
7.025315	1.279793
7.035323	1.278748
7.045330	1.277704
7.055338	1.276665
7.065346	1.275689
7.075353	1.274713
7.085361	1.273737
7.095368	1.272761
7.105376	1.271785
7.115383	1.270808
7.125391	1.269832
7.135399	1.268856
7.145406	1.267880
7.155414	1.266903
7.165421	1.265919
7.175429	1.264935
7.185436	1.263950
7.195444	1.262966
7.205452	1.261982
7.215459	1.260998
7.225467	1.260014
7.235474	1.259030
7.245482	1.258045
7.255489	1.257048
7.265497	1.255949
7.275505	1.254849
7.285512	1.253750
7.295520	1.252650
7.305527	1.251551
7.315535	1.250452
7.325542	1.249352
7.335550	1.248253
7.345558	1.247153
7.355565	1.246033
7.365573	1.244755
7.375580	1.243478
7.385588	1.242201
7.395595	1.240924
7.405603	1.239647
7.415611	1.238370
7.425618	1.237093
7.435626	1.235816
7.445633	1.234539
7.455641	1.233242
7.465648	1.231809
7.475656	1.230377
7.485664	1.228944
7.495671	1.227512
7.505679	1.226080
7.515686	1.224647
7.525694	1.223215
7.535701	1.221782
7.545709	1.220350
7.555717	1.218913
7.565724	1.217444
7.575732	1.215975
7.585739	1.214506
7.595747	1.213037
7.605754	1.211569
7.615762	1.210100
7.625770	1.208631
7.635777	1.207162
7.645785	1.205693
7.655792	1.204242
7.665800	1.202897
7.675807	1.201552
7.685815	1.200207
7.695823	1.198863
7.705830	1.197518
7.715838	1.196173
7.725845	1.194828
7.735853	1.193483
7.745860	1.192138
7.755868	1.190829
7.765876	1.189720
7.775883	1.188611
7.785891	1.187503
7.795898	1.186394
7.805906	1.185286
7.815913	1.184177
7.825921	1.183068
7.835929	1.181960
7.845936	1.180851
7.855944	1.179783
7.865951	1.178929
7.875959	1.178075
7.885966	1.177222
7.895974	1.176368
7.905982	1.175515
7.915989	1.174661
7.925997	1.173807
7.936004	1.172954
7.946012	1.172100
7.956019	1.171277
7.966027	1.170607
7.976035	1.169937
7.986042	1.169267
7.996050	1.168598
8.006057	1.167928
